app_id;Qtd_Loads;Qtd_Stores;Qtd_Joins;Qtd_ApplyMaps;Qtd_Residents;Qtd_Ifs;Qtd_Fors;Qtd_Whiles
Extrator_Inventario_Venda_Novo - Ajuste;40;24;36;0;22;87;24;0
Extrator_Inventario_Venda_Novo;3436;396;394;423;912;572;26;2
Extrator_Item_CD_Previsao;3;17;0;0;1;2;164;0
Extrator_Item_Fornec_Regiao;6;7;0;0;2;1;143;0
Extrator_Item_Loja_Curva_Bu_Item_Temporaria;0;0;0;0;0;2;10;0
Extrator_Item_Loja_Curva_Bu_Item;8403;2101;12600;0;6300;14702;11;0
Extrator_Item_Loja_Dias_Estoque;3;2;0;0;1;50;12;0
Extrator_Item_Loja_Estoque_Padrao;4203;2101;0;0;0;2;11;0
Extrator_Item_Loja_Previsao_Rdf_Semanal;3;2099;0;0;2;2;12593;1
Extrator_Item_Loja_Previsao;3374;1683;3368;0;1677;11;3371;0
Extrator_Item_Loja_Tratamento;14703;4201;21000;0;2100;26873;12184;0
Extrator_Item_Promocional;22;2;4;0;4;4;10;0
Extrator_Itens_PBM;3;1;0;0;1;1;10;0
Extrator_Lista_Arquivos;0;0;0;0;0;1;10;0
Extrator_Lista_CRM_Item_LojaBase;11;6;8;0;4;4;10;0
Extrator_Lista_Item_LojaBase;4;3;0;0;0;1;10;0
Extrator_Lote_PDV;3;1;0;0;0;1;10;0
Extrator_Mapa_Controle_AGUA_SAP;0;0;0;0;0;1;10;0
Extrator_Mapa_Controle_LUZ_SAP;0;0;0;0;0;1;10;0
Extrator_Mapa_Custo_ATUAL;3;1;0;0;0;3;11;0
Extrator_Mapa_Custo_BD;3;1;0;0;0;4;11;0
Extrator_Mapa_Custo;4;2;0;0;0;5;11;0
Extrator_Margem;7;6;0;0;0;1;10;0
Extrator_MarketShare;0;0;2;0;3;1;13;0
Extrator_MCD_FUNCIONARIO;2;4;0;0;0;1;11;0
Extrator_MCD_GERAL;829;260;0;0;0;442;264;0
Extrator_MCD_PDV;281;280;0;0;0;1;81;0
Extrator_MCD_Recolhimento;102;51;0;0;0;1;111;0
Extrator_MCD;72;36;0;28;1;1;64;0
Extrator_Media_Pagamento;6;5;0;0;0;2;11;0
Extrator_Medicamentos_Especiais_Dia_Anterior;4;0;0;0;0;3;17;0
Extrator_Meta_Dia;13;10;0;0;6;7;13;0
Extrator_Metas_Grupo;1;3;2;0;7;7;12;1
Extrator_Monitor_NF;181;180;0;0;0;1;12;0
Extrator_Monitor_Processo_PS;8;2;6;1;2;2;10;0
Extrator_Monitor_Processos_People_Atual;22;8;44;2;49;33;29;2
Extrator_Monitor_Processos_People;106;40;220;10;245;161;89;2
Extrator_MSAF_Notas;0;0;0;0;0;1;10;0
Extrator_MVA_LAKE;2;1;0;0;0;2;10;0
Extrator_OMS - Atual;1;1;0;0;0;1;10;1
Extrator_OMS;15;15;0;0;0;1;10;1
Extrator_OSA;19;20;106;1;196;30;16;14
Extrator_OTIF_V2;8;6;52;0;46;109;162;6
